office,year,month,consumption
1,2019,1,2133913
1,2019,2,1456896
1,2019,3,913644
1,2019,4,1474574
1,2019,5,5687156
1,2019,6,9578158
1,2019,7,7018563
1,2019,8,2659150
1,2019,9,1401805
1,2019,10,7051771
1,2019,11,2406504
1,2019,12,4231718
1,2020,1,9663500
1,2020,2,2667829
1,2020,3,1263243
1,2020,4,3855204
1,2020,5,8584358
1,2020,6,1613844
1,2020,7,7503346
1,2020,8,4608280
1,2020,9,7260346
1,2020,10,5298528
1,2020,11,5973081
1,2020,12,2918421
1,2021,1,1142574
1,2021,2,198171
1,2021,3,8543198
1,2021,4,5998310
1,2021,5,2900320
1,2021,6,9578606
1,2021,7,4684297
1,2021,8,6861289
1,2021,9,6830133
1,2021,10,4633036
1,2021,11,5748545
1,2021,12,6731831
1,2022,1,4371384
1,2022,2,7917930
1,2022,3,7837910
1,2022,4,2975623
1,2022,5,7912631
1,2022,6,9365429
1,2022,7,2752415
1,2022,8,1300342
1,2022,9,4797919
1,2022,10,820002
1,2022,11,12873
1,2022,12,5006663
1,2023,1,8891599
1,2023,2,8776609
1,2023,3,2932631
1,2023,4,391267
1,2023,5,7115528
1,2023,6,6035720
1,2023,7,5014232
1,2023,8,5426814
1,2023,9,1989192
1,2023,10,4435706
1,2023,11,4536912
1,2023,12,6446986
2,2019,1,2109441
2,2019,2,9143673
2,2019,3,5446576
2,2019,4,1684250
2,2019,5,4935239
2,2019,6,1152223
2,2019,7,4535744
2,2019,8,8491422
2,2019,9,3674300
2,2019,10,7050044
2,2019,11,8523719
2,2019,12,1736313
2,2020,1,7435802
2,2020,2,9027931
2,2020,3,8398044
2,2020,4,1777929
2,2020,5,2000654
2,2020,6,9845274
2,2020,7,9157611
2,2020,8,2481448
2,2020,9,9936153
2,2020,10,2862516
2,2020,11,9033354
2,2020,12,8734064
2,2021,1,7110217
2,2021,2,1079613
2,2021,3,8628907
2,2021,4,3134199
2,2021,5,4219641
2,2021,6,4204134
2,2021,7,3465684
2,2021,8,7341024
2,2021,9,6913012
2,2021,10,6964915
2,2021,11,3314404
2,2021,12,472815
2,2022,1,213515
2,2022,2,1457397
2,2022,3,1269525
2,2022,4,9150771
2,2022,5,8171648
2,2022,6,5517188
2,2022,7,7587161
2,2022,8,1732527
2,2022,9,6144537
2,2022,10,5443769
2,2022,11,4432883
2,2022,12,300605
2,2023,1,6017579
2,2023,2,4250534
2,2023,3,9005256
2,2023,4,8105899
2,2023,5,3955657
2,2023,6,8955661
2,2023,7,2048219
2,2023,8,7625649
2,2023,9,617068
2,2023,10,3972063
2,2023,11,2206465
2,2023,12,2631609
3,2019,1,716392
3,2019,2,511450
3,2019,3,567195
3,2019,4,267528
3,2019,5,860810
3,2019,6,683847
3,2019,7,243517
3,2019,8,953236
3,2019,9,954960
3,2019,10,118337
3,2019,11,428399
3,2019,12,928670
3,2020,1,668761
3,2020,2,292279
3,2020,3,553485
3,2020,4,314085
3,2020,5,849473
3,2020,6,596162
3,2020,7,41746
3,2020,8,377049
3,2020,9,168745
3,2020,10,408331
3,2020,11,898348
3,2020,12,79073
3,2021,1,673731
3,2021,2,211293
3,2021,3,660041
3,2021,4,426859
3,2021,5,490518
3,2021,6,83901
3,2021,7,667219
3,2021,8,829441
3,2021,9,396061
3,2021,10,512300
3,2021,11,654250
3,2021,12,573189
3,2022,1,609838
3,2022,2,286528
3,2022,3,900048
3,2022,4,61034
3,2022,5,423833
3,2022,6,49123
3,2022,7,794799
3,2022,8,829494
3,2022,9,907653
3,2022,10,502163
3,2022,11,414512
3,2022,12,970885
3,2023,1,128610
3,2023,2,749677
3,2023,3,314081
3,2023,4,444670
3,2023,5,292958
3,2023,6,138443
3,2023,7,280628
3,2023,8,519674
3,2023,9,784009
3,2023,10,198386
3,2023,11,722758
3,2023,12,761177
4,2019,1,5373063
4,2019,2,1718216
4,2019,3,6115571
4,2019,4,4805999
4,2019,5,8000804
4,2019,6,5814591
4,2019,7,3187711
4,2019,8,3712869
4,2019,9,263984
4,2019,10,9516036
4,2019,11,9886983
4,2019,12,1952530
4,2020,1,7851946
4,2020,2,2952540
4,2020,3,1224500
4,2020,4,635191
4,2020,5,4832426
4,2020,6,5119833
4,2020,7,2939301
4,2020,8,3220497
4,2020,9,9937485
4,2020,10,6149985
4,2020,11,8014277
4,2020,12,6081766
4,2021,1,1321036
4,2021,2,9996406
4,2021,3,563592
4,2021,4,8688293
4,2021,5,1054794
4,2021,6,1462403
4,2021,7,5606774
4,2021,8,9455049
4,2021,9,8070062
4,2021,10,137416
4,2021,11,4900657
4,2021,12,4772370
4,2022,1,8273474
4,2022,2,9287186
4,2022,3,5064123
4,2022,4,1168646
4,2022,5,8964420
4,2022,6,9764583
4,2022,7,9186735
4,2022,8,254294
4,2022,9,1535398
4,2022,10,1323823
4,2022,11,7102360
4,2022,12,5307752
4,2023,1,1927779
4,2023,2,8416654
4,2023,3,3221762
4,2023,4,2321991
4,2023,5,5256175
4,2023,6,5123475
4,2023,7,8849190
4,2023,8,669498
4,2023,9,7262993
4,2023,10,696687
4,2023,11,5889051
4,2023,12,4941101
5,2019,1,149060
5,2019,2,677295
5,2019,3,666436
5,2019,4,202961
5,2019,5,473616
5,2019,6,346756
5,2019,7,316434
5,2019,8,858995
5,2019,9,159758
5,2019,10,838409
5,2019,11,249751
5,2019,12,306300
5,2020,1,870598
5,2020,2,276024
5,2020,3,501629
5,2020,4,346460
5,2020,5,762428
5,2020,6,329544
5,2020,7,655384
5,2020,8,34220
5,2020,9,986992
5,2020,10,87789
5,2020,11,438709
